"Game Number","Game Step","Observations","Move Type","Card Color/Rank/Position","Cards Involving"
"1","1"," ","HintColor","B","B0"
"1","2"," ","HintColor","W","W0"
"1","3"," ","Play","3","W0"
"1","4"," ","HintColor","R","R0"
"1","5"," ","Play","1","R0"
"1","6"," ","Play","4","B0"
"1","7"," ","HintRank","1","B1R1W1"
"1","8"," ","Play","1","B1"
"1","9"," ","HintRank","4","Y4R4"
"1","10"," ","Play","3","R1"
"1","11"," ","Discard","#5","Y2"
"1","12"," ","Play","4","W1"
"1","13"," ","Discard","#5","Y1"
"1","14"," ","Discard","#3","R1"
"1","15"," ","Discard","#5","G2"
"1","16"," ","Discard","#3","W3"
"1","17"," ","HintRank","4","Y4R4"
"1","18"," ","Discard","#3","Y3"
"1","19"," ","HintColor","Y","Y4"
"1","20"," ","Discard","#3","B1"
"1","21"," ","HintRank","4","Y4R4"
"1","22"," ","Discard","#3","R0"
"1","23"," ","HintRank","3","W3"
"1","24"," ","Discard","#3","W0"
"1","25"," ","HintRank","0","Y0"
"1","26"," ","HintRank","4","G4"
"1","27"," ","Discard","#4","G3"
"1","28"," ","HintColor","G","G2G3G4"
"1","29"," ","Discard","#2","B0"
"1","30"," ","HintRank","0","G0"
"1","31"," ","Play","1","G0"
"1","32"," ","HintRank","4","W4G4"
"1","33"," ","Discard","#1","W1"
"1","34"," ","Play","1","Y0"
"1","35"," ","HintColor","Y","Y2Y4"
"1","36"," ","HintColor","W","W4"
"1","37"," ","HintColor","W","W3"
"1","38"," ","HintRank","2","G2"
"1","39"," ","HintRank","2","Y2"
"1","40"," ","HintColor","W","W4"
"1","41"," ","Discard","#1","R3"
"1","42"," ","Discard","#1","B3"
"1","43"," ","HintRank","3","B3W3"
"1","44"," ","HintRank","3","G3"
"1","45"," ","Discard","#1","G0"
"1","46"," ","Discard","#5","R4"
"1","47"," ","HintColor","Y","Y1Y2Y4"
"1","48"," ","Play","1","Y1"
"1","49"," ","HintColor","B","B2B3"
"1","50"," ","Discard","#1","B2"
"1","51"," ","HintRank","1","G1"
"1","52"," ","Play","1","G1"
"1","53"," ","Play","3","G2"
"1","54"," ","Play","4","Y2"
"1","55"," ","Play","4","G3"
"1","56"," ","Discard","#2","R2"
"1","57"," ","Play","5","G4"
"1","58"," ","HintRank","2","B2"
"1","59"," ","Play","2","B2"
"1","60"," ","Play","3","B3"
"1","61"," ","Discard","#3","G0"
"1","62"," ","HintRank","4","B4W4"
"1","63"," ","Play","4","B4"
"1","64"," ","HintColor","W","W2W4"
"1","65"," ","Play","1","W2"
"1","66"," ","Play","4","W3"
"1","67"," ","Play","5","W4"
"1","68"," ","HintColor","Y","Y3"
"1","69"," ","Play","1","Y3"
"1","70"," ","Play","5","Y4"
"1","71"," ","Bomb","#1","R3"
